model,total_cases,api_success_rate,classification_accuracy,avg_processing_time,avg_confidence,avg_agile_score,avg_lean_score,efficient_accuracy,inefficient_accuracy,extraction_methods,successful_calls
Llama 3.3 70B,231,1.0,0.645021645021645,2.81454476443204,0.7896103896103897,13.596491228070175,15.548245614035087,0.05952380952380952,0.9795918367346939,"{'numerical_scores': 228, 'failed': 3}",231
Claude Sonnet 4,231,1.0,0.6406926406926406,8.356220393985897,0.8,17.056277056277057,13.181818181818182,0.011904761904761904,1.0,{'numerical_scores': 231},231
Claude Opus 4,231,1.0,0.6406926406926406,13.971876937073546,0.8,14.826839826839826,11.341991341991342,0.011904761904761904,1.0,{'numerical_scores': 231},231
DeepSeek R1,231,1.0,0.6406926406926406,3.6018641882644586,0.8,28.658008658008658,25.692640692640694,0.011904761904761904,1.0,{'numerical_scores': 231},231
